date,temperature_c,rainfall_mm,humidity_percent
2020-02-26,22.4,0.2,72
2020-02-27,22.0,0.8,75
2020-02-28,22.3,0.2,68
2020-02-29,21.0,4.8,80
2020-03-01,21.2,2.4,80
2020-03-02,20.4,11.3,90
2020-03-03,20.4,3.7,89
2020-03-04,20.6,1.0,80
2020-03-05,20.7,0.8,75
2020-03-06,20.0,2.8,79
2020-03-07,20.2,2.3,81
2020-03-08,20.8,0.9,79
2020-03-09,21.4,1.1,78
2020-03-10,22.0,0.2,74
2020-03-11,21.8,0.4,73
2020-03-12,21.9,0.1,73
2020-03-13,22.2,0.0,66
2020-03-14,22.6,0.0,65
2020-03-15,23.1,0.0,63
2020-03-16,22.7,0.1,72
2020-03-17,23.6,0.0,63
2020-03-18,23.7,0.0,54
2020-03-19,23.2,0.0,67
2020-03-20,22.3,2.0,76
2020-03-21,23.2,0.0,51
2020-03-22,21.9,0.0,69
2020-03-23,22.3,0.1,75
2020-03-24,22.4,1.1,79
